year,month,day,order,country,session ID,page 1 (main category),page 2 (clothing model),colour,location,model photography,price,price 2,page
2008,8,1,1,29,22103,1,A11,3,4,1,62,1,1
2008,8,1,2,29,22103,1,A10,3,4,1,38,2,1
2008,8,1,3,29,22103,1,A2,3,1,1,43,2,1
2008,8,1,4,29,22103,3,C5,11,2,1,48,1,1
2008,8,1,1,29,22104,2,B19,13,1,1,38,2,2
2008,8,1,2,29,22104,2,B26,13,3,1,57,1,2
2008,8,1,1,29,22105,4,P8,2,3,1,28,2,1
2008,8,1,2,29,22105,4,P13,4,5,1,38,1,1
2008,8,1,3,29,22105,4,P23,6,2,2,28,2,2
2008,8,1,4,29,22105,4,P26,4,3,1,43,1,2
2008,8,1,5,29,22105,4,P29,5,4,2,33,2,2
2008,8,1,6,29,22105,4,P34,9,6,2,48,1,2
2008,8,1,7,29,22105,4,P53,2,6,2,38,1,3
2008,8,1,8,29,22105,4,P82,6,4,2,48,1,5
2008,8,1,9,29,22105,1,A33,1,5,1,38,2,2
2008,8,1,10,29,22105,3,C56,6,1,2,57,1,4
2008,8,1,11,29,22105,3,C57,5,1,2,33,2,4
2008,8,1,1,29,22106,3,C12,14,4,1,43,1,1
2008,8,1,2,29,22106,3,C5,11,2,1,48,1,1
2008,8,1,3,29,22106,3,C21,14,1,1,57,1,2
2008,8,1,4,29,22106,3,C35,9,6,1,50,1,2
2008,8,1,5,29,22106,3,C36,14,6,1,43,1,2
2008,8,1,6,29,22106,3,C53,14,6,1,38,2,3
2008,8,1,7,29,22106,3,C44,14,3,1,55,1,3
2008,8,1,1,3,22107,1,A6,3,2,1,43,2,1
2008,8,1,2,3,22107,1,A7,3,3,1,43,2,1
2008,8,1,3,3,22107,1,A8,3,3,1,62,1,1
2008,8,1,4,3,22107,1,A12,2,4,1,38,2,1
2008,8,1,5,3,22107,1,A17,2,6,1,62,1,1
2008,8,1,6,3,22107,1,A34,2,6,1,38,2,2
2008,8,1,7,3,22107,1,A37,2,1,1,62,1,3
2008,8,1,8,3,22107,3,C54,14,6,1,57,1,3
2008,8,1,9,3,22107,3,C40,14,2,2,28,2,3
2008,8,1,10,3,22107,4,P15,4,5,2,38,1,1
2008,8,1,11,3,22107,1,A9,3,3,1,82,1,1
2008,8,1,12,3,22107,4,P1,3,1,1,38,1,1
2008,8,1,13,3,22107,4,P2,3,1,1,28,2,1
2008,8,1,14,3,22107,4,P33,9,5,1,43,1,2
2008,8,1,15,3,22107,4,P36,2,6,1,43,1,2
2008,8,1,16,3,22107,4,P26,4,3,1,43,1,2
2008,8,1,17,3,22107,4,P39,14,1,1,43,1,3
2008,8,1,1,29,22108,2,B13,12,5,2,62,1,1
2008,8,1,2,29,22108,2,B21,12,1,1,67,1,2
2008,8,1,1,9,22109,1,A12,2,4,1,38,2,1
2008,8,1,2,9,22109,1,A12,2,4,1,38,2,1
2008,8,1,1,29,22110,2,B4,10,2,1,52,1,1
2008,8,1,2,29,22110,2,B11,2,4,1,43,2,1
2008,8,1,3,29,22110,2,B29,2,4,1,62,1,2
2008,8,1,4,29,22110,1,A12,2,4,1,38,2,1
2008,8,1,1,29,22111,2,B30,9,4,1,57,1,2
2008,8,1,2,29,22111,2,B31,9,5,1,57,1,2
2008,8,1,3,29,22111,2,B26,13,3,1,57,1,2
2008,8,1,1,9,22112,1,A12,2,4,1,38,2,1
2008,8,1,1,9,22113,1,A21,1,1,1,62,1,2
2008,8,1,2,9,22113,1,A20,2,1,2,38,2,2
2008,8,1,3,9,22113,1,A22,4,2,1,62,1,2
2008,8,1,4,9,22113,1,A32,2,5,1,38,2,2
2008,8,1,5,9,22113,3,C5,11,2,1,48,1,1
2008,8,1,6,9,22113,3,C50,9,5,2,20,2,3
2008,8,1,7,9,22113,2,B4,10,2,1,52,1,1
2008,8,1,8,9,22113,2,B21,12,1,1,67,1,2
2008,8,1,9,9,22113,2,B24,11,2,1,57,1,2
2008,8,1,1,29,22114,2,B30,9,4,1,57,1,2
2008,8,1,1,29,22115,2,B11,2,4,1,43,2,1
2008,8,1,2,29,22115,2,B21,12,1,1,67,1,2
2008,8,1,3,29,22115,2,B24,11,2,1,57,1,2
2008,8,1,4,29,22115,2,B25,6,3,1,38,2,2
2008,8,1,5,29,22115,2,B26,13,3,1,57,1,2
2008,8,1,6,29,22115,2,B27,2,3,1,57,1,2
2008,8,1,7,29,22115,2,B13,12,5,2,62,1,1
2008,8,1,1,9,22116,2,B4,10,2,1,52,1,1
2008,8,1,2,9,22116,2,B2,3,1,2,57,1,1
2008,8,1,3,9,22116,3,C6,6,2,1,33,2,1
2008,8,1,4,9,22116,3,C25,2,3,1,33,2,2
2008,8,1,1,29,22117,2,B15,9,5,1,38,2,1
2008,8,1,2,29,22117,2,B31,9,5,1,57,1,2
2008,8,1,1,29,22118,2,B12,2,4,1,38,2,1
2008,8,1,2,29,22118,2,B13,12,5,2,62,1,1
2008,8,1,3,29,22118,2,B10,2,4,1,67,1,1
2008,8,1,4,29,22118,2,B20,8,1,1,43,2,2
2008,8,1,5,29,22118,2,B19,13,1,1,38,2,2
2008,8,1,6,29,22118,2,B19,13,1,1,38,2,2
2008,8,1,1,29,22119,4,P15,4,5,2,38,1,1
2008,8,1,2,29,22119,4,P75,7,1,1,33,2,5
2008,8,1,1,29,22120,4,P34,9,6,2,48,1,2
2008,8,1,2,29,22120,4,P75,7,1,1,33,2,5
2008,8,1,3,29,22120,3,C35,9,6,1,50,1,2
2008,8,1,1,29,22121,1,A18,4,6,1,38,2,1
2008,8,1,1,29,22122,1,A11,3,4,1,62,1,1
2008,8,1,2,29,22122,1,A2,3,1,1,43,2,1
2008,8,1,3,29,22122,1,A5,3,2,1,43,2,1
2008,8,1,4,29,22122,2,B1,4,1,1,57,1,1
2008,8,1,5,29,22122,2,B11,2,4,1,43,2,1
2008,8,1,6,29,22122,4,P11,4,4,2,38,1,1
2008,8,1,7,29,22122,4,P3,2,1,1,48,1,1
2008,8,1,8,29,22122,4,P14,2,5,2,38,1,1
2008,8,1,9,29,22122,1,A2,3,1,1,43,2,1
2008,8,1,10,29,22122,1,A2,3,1,1,43,2,1
2008,8,1,1,21,22123,4,P26,4,3,1,43,1,2
2008,8,1,2,21,22123,4,P25,2,3,2,43,1,2
2008,8,1,3,21,22123,4,P34,9,6,2,48,1,2
2008,8,1,4,21,22123,4,P39,14,1,1,43,1,3
2008,8,1,5,21,22123,4,P43,7,3,2,38,1,3
2008,8,1,6,21,22123,4,P50,6,5,2,33,2,3
2008,8,1,7,21,22123,4,P41,9,2,2,43,1,3
2008,8,1,8,21,22123,4,P37,2,1,1,43,1,3
2008,8,1,9,21,22123,4,P53,2,6,2,38,1,3
2008,8,1,1,41,22124,1,A1,8,1,1,28,2,1
2008,8,1,2,41,22124,1,A8,3,3,1,62,1,1
2008,8,1,3,41,22124,1,A12,2,4,1,38,2,1
2008,8,1,1,29,22125,2,B14,2,5,1,62,1,1
2008,8,1,1,29,22126,4,P39,14,1,1,43,1,3
2008,8,1,2,29,22126,4,P39,14,1,1,43,1,3
2008,8,1,1,29,22127,1,A1,8,1,1,28,2,1
2008,8,1,2,29,22127,1,A32,2,5,1,38,2,2
2008,8,1,3,29,22127,1,A33,1,5,1,38,2,2
2008,8,1,4,29,22127,1,A34,2,6,1,38,2,2
2008,8,1,5,29,22127,1,A37,2,1,1,62,1,3
2008,8,1,6,29,22127,4,P18,2,6,1,28,2,1
2008,8,1,7,29,22127,4,P19,2,1,1,48,1,2
2008,8,1,8,29,22127,4,P35,4,6,1,28,2,2
2008,8,1,9,29,22127,4,P56,2,1,1,33,2,4
2008,8,1,10,29,22127,3,C54,14,6,1,57,1,3
2008,8,1,11,29,22127,3,C57,5,1,2,33,2,4
2008,8,1,12,29,22127,3,C57,5,1,2,33,2,4
2008,8,1,1,29,22128,2,B14,2,5,1,62,1,1
2008,8,1,2,29,22128,2,B4,10,2,1,52,1,1
2008,8,1,3,29,22128,1,A11,3,4,1,62,1,1
2008,8,1,4,29,22128,3,C29,6,4,2,52,1,2
2008,8,1,5,29,22128,3,C24,12,2,1,33,2,2
2008,8,1,6,29,22128,3,C53,14,6,1,38,2,3
2008,8,1,7,29,22128,3,C52,2,6,1,38,2,3
2008,8,1,8,29,22128,3,C57,5,1,2,33,2,4
2008,8,1,9,29,22128,3,C49,4,5,2,26,2,3
2008,8,1,10,29,22128,3,C46,2,4,1,48,1,3
2008,8,1,1,29,22129,3,C14,9,5,1,23,2,1
2008,8,1,2,29,22129,3,C32,2,5,1,33,2,2
2008,8,1,3,29,22129,3,C46,2,4,1,48,1,3
