year,month,day,order,country,session ID,page 1 (main category),page 2 (clothing model),colour,location,model photography,price,price 2,page
2008,5,1,1,9,6942,3,C5,11,2,1,48,1,1
2008,5,1,1,9,6943,3,C2,12,1,1,43,1,1
2008,5,1,2,9,6943,3,C40,14,2,2,28,2,3
2008,5,1,3,9,6943,3,C41,13,2,1,28,2,3
2008,5,1,4,9,6943,3,C48,6,4,1,28,2,3
2008,5,1,5,9,6943,1,A1,8,1,1,28,2,1
2008,5,1,6,9,6943,1,A4,3,2,2,38,2,1
2008,5,1,7,9,6943,1,A9,3,3,1,82,1,1
2008,5,1,8,9,6943,1,A23,6,2,2,33,2,2
2008,5,1,1,46,6944,2,B1,4,1,1,57,1,1
2008,5,1,2,46,6944,2,B9,1,3,1,48,2,1
2008,5,1,1,29,6945,2,B14,2,5,1,62,1,1
2008,5,1,2,29,6945,2,B10,2,4,1,67,1,1
2008,5,1,3,29,6945,2,B11,2,4,1,43,2,1
2008,5,1,1,29,6946,2,B1,4,1,1,57,1,1
2008,5,1,2,29,6946,2,B30,9,4,1,57,1,2
2008,5,1,1,29,6947,1,A8,3,3,1,62,1,1
2008,5,1,1,42,6948,4,P73,11,1,2,33,2,5
2008,5,1,2,42,6948,4,P74,12,1,2,33,2,5
2008,5,1,3,42,6948,4,P75,7,1,1,33,2,5
2008,5,1,4,42,6948,4,P76,2,2,2,43,1,5
2008,5,1,5,42,6948,4,P77,7,2,1,43,1,5
2008,5,1,6,42,6948,4,P78,14,2,2,48,1,5
2008,5,1,7,42,6948,4,P79,2,3,1,52,1,5
2008,5,1,8,42,6948,4,P80,7,3,1,28,2,5
2008,5,1,9,42,6948,4,P81,4,3,2,43,1,5
2008,5,1,10,42,6948,4,P82,6,4,2,48,1,5
2008,5,1,1,9,6949,2,B16,12,6,1,52,1,1
2008,5,1,2,9,6949,2,B15,9,5,1,38,2,1
2008,5,1,3,9,6949,2,B14,2,5,1,62,1,1
2008,5,1,4,9,6949,2,B1,4,1,1,57,1,1
2008,5,1,5,9,6949,2,B3,12,1,1,52,1,1
2008,5,1,6,9,6949,2,B6,2,2,1,52,1,1
2008,5,1,7,9,6949,1,A18,4,6,1,38,2,1
2008,5,1,8,9,6949,1,A15,14,5,2,33,2,1
2008,5,1,9,9,6949,1,A2,3,1,1,43,2,1
2008,5,1,10,9,6949,3,C17,14,6,1,48,1,1
2008,5,1,11,9,6949,3,C18,9,6,1,48,1,1
2008,5,1,12,9,6949,3,C2,12,1,1,43,1,1
2008,5,1,1,9,6950,1,A4,3,2,2,38,2,1
2008,5,1,1,29,6951,2,B11,2,4,1,43,2,1
2008,5,1,2,29,6951,2,B17,6,6,2,38,2,1
2008,5,1,3,29,6951,2,B16,12,6,1,52,1,1
2008,5,1,4,29,6951,2,B19,13,1,1,38,2,2
2008,5,1,5,29,6951,2,B21,12,1,1,67,1,2
2008,5,1,6,29,6951,2,B32,6,5,1,38,2,2
2008,5,1,7,29,6951,2,B24,11,2,1,57,1,2
2008,5,1,1,29,6952,3,C4,4,2,1,48,1,1
2008,5,1,2,29,6952,3,C5,11,2,1,48,1,1
2008,5,1,3,29,6952,3,C12,14,4,1,43,1,1
2008,5,1,4,29,6952,3,C17,14,6,1,48,1,1
2008,5,1,5,29,6952,3,C9,6,3,1,48,1,1
2008,5,1,6,29,6952,3,C2,12,1,1,43,1,1
2008,5,1,7,29,6952,3,C13,9,5,1,48,1,1
2008,5,1,1,29,6953,1,A14,3,5,1,60,1,1
2008,5,1,2,29,6953,1,A15,14,5,2,33,2,1
2008,5,1,1,29,6954,1,A22,4,2,1,62,1,2
2008,5,1,2,29,6954,1,A26,2,3,1,38,2,2
2008,5,1,1,9,6955,3,C17,14,6,1,48,1,1
2008,5,1,2,9,6955,3,C45,11,3,1,55,1,3
2008,5,1,3,9,6955,3,C44,14,3,1,55,1,3
2008,5,1,4,9,6955,3,C48,6,4,1,28,2,3
2008,5,1,5,9,6955,3,C43,6,3,2,28,2,3
2008,5,1,6,9,6955,2,B8,4,3,2,52,1,1
2008,5,1,7,9,6955,2,B12,2,4,1,38,2,1
